epoch,train_loss,train_acc
1,0.9408355641682943,74.05111111111111
2,1.987251710340712,34.257777777777775
3,1.4728936604817708,47.937777777777775
4,1.3126137179904513,53.05555555555556
5,1.212101276312934,56.34444444444444
6,1.1153212910970052,60.16222222222222
7,1.03864736328125,62.913333333333334
8,0.9716486992730035,65.45555555555555
9,0.9114958353678385,67.71111111111111
10,0.8526408386230468,69.54888888888888
11,0.8117096489800347,71.43333333333334
12,0.7832213392469618,72.11777777777777
13,0.7367198086208767,74.24
14,0.6935128987630208,75.49333333333334
15,0.6472374064127604,77.47111111111111
16,0.6114787353515625,78.79777777777778
17,0.5822251417371962,79.85111111111111
18,0.5612939405653212,80.58444444444444
19,0.5382901614718967,81.26222222222222
20,0.5125085374620225,82.41555555555556
