epoch,train_loss,train_acc
1,2.0514428881448414,23.73111111111111
2,1.807755931842138,32.67015873015873
3,1.7031433345734126,36.63079365079365
4,1.633186482359871,39.37746031746032
5,1.5715795181516616,41.973333333333336
6,1.5194211158389137,43.99492063492063
7,1.475939737955729,45.82031746031746
8,1.4379614033048116,47.33238095238095
9,1.4086655188182045,48.51396825396825
10,1.3798988110739088,49.64888888888889
11,1.354929799107143,50.69746031746032
12,1.3320215514167906,51.55428571428571
13,1.3099584879557291,52.42285714285714
14,1.2893725295293899,53.22031746031746
15,1.2695838371155754,53.95301587301587
16,1.25089307609437,54.73587301587302
17,1.2350623849051339,55.26
18,1.2175459325396825,56.01555555555556
19,1.2017505681113592,56.62253968253968
20,1.188348089502728,57.09650793650793
21,1.1734315809461806,57.58253968253968
22,1.1595747605096727,58.11650793650794
23,1.1484147255549355,58.60793650793651
24,1.1367854532877604,59.056507936507934
25,1.1232201726035467,59.61714285714286
26,1.1127853224981399,59.86412698412698
27,1.1002253516787575,60.32698412698413
28,1.0897838590107267,60.782539682539685
29,1.0803658478267608,61.147301587301584
30,1.0713128278459823,61.537460317460315
31,1.0615305776444692,61.867936507936506
32,1.0504220643058655,62.17301587301587
33,1.0410450815352184,62.5247619047619
34,1.0317775138733878,62.95111111111111
35,1.022949802749876,63.26793650793651
36,1.0151060930524554,63.65714285714286
37,1.0057842996264261,63.876507936507934
38,0.9984419532412574,64.24984126984127
39,0.9893659559461806,64.6015873015873
40,0.9813505250961061,64.84603174603174
41,0.9715266861204117,65.2584126984127
42,0.9655202026367188,65.39936507936508
43,0.9575140177408854,65.74571428571429
44,0.9492196889725942,66.0304761904762
45,0.9428106449187748,66.32380952380953
46,0.935357306780134,66.6479365079365
47,0.929418860250806,66.84412698412699
48,0.9212135569738963,67.08634920634921
49,0.9146829068622891,67.36825396825397
50,0.9090499558221726,67.57777777777778
51,0.9024809525747148,67.82380952380953
52,0.8959517246791294,68.08571428571429
53,0.8914960036504836,68.18920634920634
54,0.883262058609251,68.55396825396825
55,0.8789191098167782,68.79873015873015
56,0.8725755295526414,68.99079365079365
57,0.8671159489707341,69.19904761904762
58,0.8608938511439732,69.38571428571429
59,0.8555973861452133,69.52857142857142
60,0.8507297444661458,69.74380952380952
61,0.8463943715897817,69.91492063492063
62,0.8401614831349207,70.12285714285714
63,0.8365948697529142,70.28888888888889
64,0.8301590209960937,70.51968253968253
65,0.8243282970610118,70.7863492063492
66,0.8209219340975322,70.81460317460318
67,0.8164704398018974,70.9336507936508
68,0.8143393413240947,71.06412698412699
69,0.8100480185856895,71.29333333333334
70,0.804886459108383,71.41555555555556
71,0.7997052356538319,71.73015873015873
72,0.7940187093098958,71.86190476190477
73,0.7906033668154762,72.01619047619047
74,0.7878112800719246,72.04444444444445
75,0.7831480116102431,72.24730158730159
76,0.7792796801370288,72.4088888888889
77,0.7752449133494543,72.49269841269842
78,0.7701542054191468,72.74126984126984
79,0.7691752881246899,72.70920634920635
80,0.7640344486297123,72.96349206349207
