epoch,train_loss,train_acc
1,0.5277262946234809,81.82222222222222
2,0.5081822109646268,82.48444444444445
3,0.4923527025010851,82.82888888888888
4,0.4819629869249132,83.28666666666666
5,0.4753221116807726,83.39555555555556
6,0.4723767788357205,83.43555555555555
7,0.46213990410698785,83.91111111111111
8,0.4597311062282986,84.06444444444445
9,0.454910546875,84.13333333333334
10,0.4533568372938368,84.09777777777778
11,0.4420418701171875,84.45111111111112
12,0.43594585639105904,84.66222222222223
13,0.4350020772298177,84.80222222222223
14,0.43063671807183157,85.07333333333334
15,0.4250267008463542,85.18444444444444
16,0.4211397962782118,85.28444444444445
17,0.4166838100857205,85.60888888888888
18,0.41360992702907984,85.49333333333334
19,0.4178499260796441,85.40444444444445
20,0.40753367716471356,85.89333333333333
