epoch,train_loss,train_acc
1,1.7265909290132069,36.05746031746032
2,1.3462018705822172,51.04253968253968
3,1.1654189523848277,57.862857142857145
4,1.0436886548239088,62.53873015873016
5,0.9482673068576389,66.14349206349206
6,0.8623571974012587,69.32031746031745
7,0.7971305844261533,71.70571428571428
8,0.7380981581914993,73.90571428571428
9,0.6916881454225571,75.46603174603175
10,0.6505546084449405,77.00380952380952
11,0.6183900262257409,78.07587301587301
12,0.5848189628964379,79.32920634920634
13,0.5589896928090898,80.21111111111111
14,0.5321353292313833,81.15968253968254
15,0.5096671612451947,81.98666666666666
16,0.4928292109413753,82.52888888888889
17,0.47308579963805186,83.2088888888889
18,0.45694210321335565,83.82253968253968
19,0.43745094270252044,84.53365079365079
20,0.42487037929958765,84.97873015873016
21,0.4109000722249349,85.43174603174603
22,0.3993381134033203,85.87904761904763
23,0.3846202363513765,86.46095238095238
24,0.37247188977438306,86.82380952380953
25,0.36177055358886717,87.21428571428571
26,0.35009154973105777,87.59238095238095
27,0.3388395017835829,88.07841269841269
28,0.33495916844928075,88.12571428571428
29,0.3217570634145585,88.61873015873016
30,0.31444612843346975,88.8488888888889
31,0.3062463883899507,89.13619047619048
32,0.2962828536745102,89.49587301587302
33,0.288545413062686,89.80888888888889
34,0.28052267209007625,90.05333333333333
35,0.27497803657168435,90.23809523809524
36,0.2666247999403212,90.6015873015873
37,0.26182740301707436,90.75079365079365
38,0.2515394535609654,91.10380952380953
39,0.2482284202938988,91.25301587301587
40,0.23994681507897755,91.55746031746031
41,0.23649937758672804,91.58507936507937
42,0.22764711037287635,91.96349206349207
43,0.2214447981577071,92.1673015873016
44,0.2169391125875806,92.25460317460318
45,0.21514918406653025,92.38031746031746
46,0.207584277101547,92.62793650793651
47,0.20372381645081536,92.77015873015873
48,0.19771480858212426,93.05111111111111
49,0.19182636069645959,93.19142857142857
50,0.18721347940838526,93.34412698412699
51,0.1828369375561911,93.5415873015873
52,0.1819392570616707,93.55492063492063
53,0.17645165238153368,93.74063492063492
54,0.16901907438247923,94.00507936507937
55,0.16450125795394654,94.17269841269841
56,0.16124915391225664,94.27142857142857
57,0.15831296082753984,94.36190476190477
58,0.1529155483669705,94.57333333333334
59,0.14878155578128877,94.73619047619047
60,0.1462458774627201,94.79936507936507
61,0.14266690128871373,94.92539682539683
62,0.13734778539264014,95.14666666666666
63,0.13662908124166823,95.15460317460318
64,0.13568560534280444,95.16603174603175
65,0.13052867231823148,95.36444444444444
66,0.1274265120491149,95.46253968253968
67,0.12375142113821846,95.61047619047619
68,0.12318552534315322,95.62285714285714
69,0.11817517144339425,95.8047619047619
70,0.11644963747054811,95.84031746031746
71,0.11340539160834419,95.97904761904762
72,0.11022103758312407,96.11238095238095
73,0.10978758049616738,96.08507936507937
74,0.10630556526789589,96.2247619047619
75,0.1038852056109716,96.30730158730158
76,0.09736782353719076,96.53174603174604
77,0.09853437147594633,96.45936507936509
78,0.09748721653771779,96.5304761904762
79,0.0953610718378945,96.60412698412698
80,0.09241660766601563,96.70920634920635
