epoch,train_loss,train_acc
1,0.043734222475687666,98.49777777777778
2,0.03362657036251492,98.82888888888888
3,0.029778351635403103,98.96888888888888
4,0.02814013942082723,99.02
5,0.026517713589138455,99.0911111111111
6,0.023950559912787543,99.17777777777778
7,0.023749525260925292,99.20222222222222
8,0.02105435274971856,99.28
9,0.019248896895514594,99.38444444444444
10,0.017305943775177003,99.42222222222222
11,0.015004958523644342,99.51777777777778
12,0.014289817725287543,99.54888888888888
13,0.012138052603933547,99.62444444444445
14,0.01097047594918145,99.64888888888889
15,0.009989520523283217,99.69555555555556
16,0.0070651731544070775,99.82222222222222
17,0.006809612380133735,99.79333333333334
18,0.006125207169850667,99.84444444444445
19,0.006043502733442519,99.83111111111111
20,0.006159634565644794,99.82444444444444
