epoch,loss,accuracy
1,2.0040483457141454,0.2720666666666667
2,1.6841296762890285,0.38551111111111114
3,1.5567297427495321,0.4370222222222222
4,1.4832548581441243,0.4670666666666667
5,1.4336249431186252,0.486
6,1.3868864139556885,0.5056444444444445
7,1.3443306181377834,0.5213333333333333
8,1.308169856071472,0.5326
9,1.269004065238105,0.5471333333333334
10,1.2496952522913616,0.5551555555555555
11,1.209413374265035,0.5703777777777778
12,1.2017432554880778,0.5740444444444445
13,1.1544773863050672,0.5933555555555555
14,1.1418804116778905,0.5948444444444444
15,1.120609850862291,0.6057111111111111
16,1.1014306773079767,0.6130444444444444
17,1.0845302208794487,0.6174222222222222
18,1.062366748491923,0.6268666666666667
19,1.0534598815070257,0.6326888888888889
20,1.0365155020395915,0.6371555555555556
21,1.0157492653316922,0.6460444444444444
22,1.0028237585173714,0.649
23,0.9904398306634691,0.6555777777777778
24,0.987845491027832,0.6572
25,0.9768491969638401,0.6614666666666666
26,0.9517083175235325,0.6688222222222222
27,0.9465190660052829,0.6714444444444444
28,0.935690176179674,0.6754
29,0.926462716293335,0.6804666666666667
30,0.9205235895474752,0.6797111111111112
31,0.9106761266708374,0.6840222222222222
32,0.895355363729265,0.6880888888888889
33,0.8929616818639967,0.6905777777777777
34,0.8803316794289483,0.6939555555555555
35,0.8805647659407722,0.6957777777777778
36,0.8580800108591715,0.7012
37,0.8533756535847982,0.7044888888888889
38,0.8480560192214118,0.7060444444444445
39,0.8434697369893392,0.7078222222222222
40,0.8336031102392408,0.7098666666666666
41,0.831541579108768,0.7129111111111112
42,0.82027275118298,0.7152666666666667
43,0.8085466592046949,0.7198222222222223
44,0.8001632377518548,0.7219111111111111
45,0.7949665852970547,0.7234666666666667
46,0.7934615953127543,0.7253777777777778
47,0.7861926176071167,0.7283111111111111
48,0.7868803634113736,0.7264222222222222
49,0.7750269645796882,0.7317333333333333
50,0.7678056985961066,0.7339777777777777
51,0.7597634847111172,0.7357555555555556
52,0.7505695174429152,0.7413777777777778
53,0.7457842470063104,0.7404
54,0.7367179779370626,0.7446
55,0.7346377283308241,0.7450444444444444
56,0.7343019576072692,0.7455777777777778
57,0.7265839490148757,0.7477111111111111
58,0.7241718764093187,0.7489777777777777
59,0.7173460315492418,0.7499555555555556
60,0.7121320922533672,0.7534666666666666
61,0.7020396166483561,0.7568
62,0.6963302807913886,0.7572222222222222
63,0.6989145990583632,0.7567555555555555
64,0.6866608495182461,0.7599333333333333
65,0.6884012468867832,0.7612222222222222
66,0.6769725559870402,0.7660222222222223
67,0.6735949006504482,0.7648222222222222
68,0.677240375465817,0.7636666666666667
69,0.6692319568422106,0.7673333333333333
70,0.6659403397878011,0.7697555555555555
71,0.6596493376943801,0.7709111111111111
72,0.6562557847764757,0.7722666666666667
73,0.6582786702367994,0.7708666666666667
74,0.6495840945773654,0.7726888888888889
75,0.645174702474806,0.7750888888888889
76,0.6443667244169448,0.7748888888888888
77,0.6337873464902242,0.7810888888888889
78,0.6317750322341918,0.7787555555555555
79,0.6210968992551168,0.7835777777777778
80,0.621983031463623,0.7840222222222222
81,0.6234499856313069,0.7835111111111112
82,0.624421257824368,0.7830888888888888
83,0.6103918514463637,0.7874444444444444
84,0.6131687573220995,0.7878888888888889
85,0.6043204142676459,0.7878
86,0.609195452923245,0.7878
87,0.6031113322363959,0.7900444444444444
88,0.5938263729201423,0.7939111111111111
89,0.5916441916677687,0.7938444444444445
90,0.5935212652630276,0.7915111111111112
91,0.585325024096171,0.7956222222222222
92,0.5752980433570014,0.7993111111111111
93,0.5847451327323914,0.7966444444444445
94,0.570285935529073,0.8003777777777777
95,0.5804909898122151,0.7964666666666667
96,0.5736790761099921,0.8013555555555556
97,0.5674676743507385,0.8023777777777777
98,0.5671367510901557,0.8012888888888889
99,0.5570892289691501,0.8055111111111111
100,0.5588347544458178,0.8055555555555556
101,0.54993074698978,0.8059111111111111
102,0.5523365042792426,0.8074888888888889
103,0.5509128828896417,0.8066444444444445
104,0.5402381378915575,0.8146
105,0.5415055519898733,0.8110888888888889
106,0.5444798271920946,0.8102444444444444
107,0.5433200508541531,0.8102222222222222
108,0.5308193947368198,0.8138222222222222
109,0.5281271639611986,0.8165333333333333
110,0.534541875606113,0.8143333333333334
