epoch,train_loss,train_acc
1,0.04428951278262668,98.44
2,0.03814966676500108,98.66888888888889
3,0.04260936503940158,98.54222222222222
4,0.05811782701280382,97.94222222222223
5,0.08457149336073133,97.04222222222222
6,0.09432467286851672,96.66444444444444
7,0.09654183120727539,96.58666666666667
8,0.08143405142890082,97.18666666666667
9,0.07004153027004666,97.50222222222222
10,0.059994989522298175,97.84222222222222
11,0.05075639459821913,98.32666666666667
12,0.04123673411475288,98.60666666666667
13,0.040443130917019315,98.63333333333334
14,0.033255642488267685,98.86222222222223
15,0.030116559092203777,99.02222222222223
16,0.025428848796420628,99.14222222222222
17,0.021844043752882215,99.30444444444444
18,0.020491236072116427,99.33333333333333
19,0.019799614556630454,99.35777777777778
20,0.021240050835079616,99.28888888888889
