epoch,loss,accuracy
1,2.0213784393310545,0.2676
2,1.7188155201805961,0.37677777777777777
3,1.5790823003133139,0.4245333333333333
4,1.5106026355955335,0.45211111111111113
5,1.467027307510376,0.47015555555555555
6,1.421702328681946,0.48815555555555556
7,1.3880414388656617,0.5016444444444444
8,1.3653849926418729,0.5128666666666667
9,1.3246274147245618,0.5259333333333334
10,1.2972177686691284,0.5356444444444445
11,1.2649811074786717,0.549
12,1.253145895322164,0.5537111111111112
13,1.217827562628852,0.5686888888888889
14,1.2056652253044977,0.5715777777777777
15,1.1759905840555827,0.5833111111111111
16,1.1677767215516832,0.5878888888888889
17,1.1454048529307048,0.5974222222222222
18,1.1299473932902018,0.6018666666666667
19,1.11540157239702,0.6064444444444445
20,1.097371212916904,0.6135777777777778
21,1.0841905166625976,0.6203333333333333
22,1.0690219064500597,0.6237555555555555
23,1.0592073995166356,0.6268888888888889
24,1.0408275654051038,0.6344
25,1.0270580314000448,0.6387333333333334
26,1.025943356344435,0.6422222222222222
27,1.0132364567014907,0.6461555555555556
28,1.0086388638602364,0.6465777777777778
29,0.9909884815851847,0.6538222222222222
30,0.9915236119376288,0.6537777777777778
31,0.9712016015794542,0.6606222222222222
32,0.9608918756273058,0.6639333333333334
33,0.9508999458948771,0.6699333333333334
34,0.9425452419492933,0.6701333333333334
35,0.9317723324457804,0.6764222222222223
36,0.9277190100987752,0.6779555555555555
37,0.9131447905222575,0.6840666666666667
38,0.9100986747635735,0.6806222222222222
39,0.9064711928261651,0.6846444444444445
40,0.9005614677217272,0.6874
41,0.888492002805074,0.6922
42,0.8843107440630595,0.6914666666666667
43,0.8745608305931092,0.6973111111111111
44,0.8686133264329698,0.6988888888888889
45,0.8619831057230631,0.6997333333333333
46,0.8562560147921244,0.7022444444444444
47,0.8447683001942105,0.7085111111111111
48,0.837033489757114,0.7098666666666666
49,0.8337554390801324,0.7101777777777778
50,0.826158902475569,0.7121555555555555
51,0.816194317065345,0.7189555555555556
52,0.814714605585734,0.7178
53,0.8074197141647339,0.7195777777777778
54,0.8057050510406494,0.7201333333333333
55,0.8032786603291829,0.7194666666666667
56,0.7874631456375122,0.7290888888888889
57,0.7894691718313429,0.7257555555555556
58,0.7786518226623536,0.7319555555555556
59,0.776289122358958,0.7310888888888889
60,0.7681556411319309,0.7335777777777778
61,0.7713405134624906,0.7330222222222222
62,0.7599491349538168,0.7373777777777778
63,0.7556512516021728,0.7361333333333333
64,0.7490781023661296,0.7412444444444445
65,0.751300566207038,0.7397111111111111
66,0.7393935011863708,0.7445111111111111
67,0.7383737220658196,0.7458444444444444
68,0.7317987407048543,0.7446666666666667
69,0.7279231561978659,0.7489777777777777
70,0.721520535490248,0.7518444444444444
71,0.7157785086525811,0.7518444444444444
72,0.7172355043941074,0.7516222222222222
73,0.7121157414118449,0.7506444444444444
74,0.7128160920355056,0.7528666666666667
75,0.7108406112882826,0.7534222222222222
76,0.697605368508233,0.7565111111111111
77,0.6925050282372369,0.7595111111111111
78,0.6798448007795546,0.7652666666666667
79,0.6834048666636149,0.7612222222222222
80,0.6813400768915813,0.7622222222222222
81,0.6802707074907091,0.7640222222222223
82,0.6763705407460531,0.7650222222222223
83,0.6676668543603685,0.7680222222222223
84,0.6674831909179687,0.7666444444444445
85,0.6568870445039537,0.7712222222222223
86,0.6595988882170783,0.7696444444444445
87,0.6561778012699551,0.7711777777777777
88,0.6432858274459838,0.7775111111111112
89,0.6544315762413873,0.7706888888888889
90,0.643834647655487,0.7775111111111112
91,0.640179316690233,0.7768
92,0.6409347879303826,0.7761777777777777
93,0.6337889170752631,0.7812888888888889
94,0.6332853044615852,0.7803555555555556
95,0.6337069114473131,0.7787333333333334
96,0.6269958859337701,0.7804666666666666
97,0.6200614877700805,0.7820444444444444
98,0.6143603452364603,0.7862444444444444
99,0.621065463701884,0.7827333333333333
100,0.6170110294448005,0.7863111111111111
101,0.606532891453637,0.7885777777777778
102,0.6031343527158102,0.7894888888888889
103,0.6033955714013841,0.7911333333333334
104,0.5994281119346618,0.7919333333333334
105,0.5966013377401563,0.7934888888888889
106,0.6007806032180786,0.7917555555555555
107,0.5901326371298896,0.7944444444444444
108,0.5904267301771375,0.7944666666666667
109,0.5879959410031637,0.7956
110,0.5829323209338718,0.797
111,0.5837364367696974,0.7993333333333333
112,0.5707324867884318,0.8000666666666667
113,0.5742763970586988,0.7994666666666667
114,0.5748439122835796,0.7998444444444445
115,0.5695658241801792,0.8011777777777778
116,0.5725947162734137,0.8004444444444444
117,0.5620514314545525,0.8039777777777778
118,0.5587265772395664,0.8049333333333333
119,0.5593111409187317,0.8035555555555556
120,0.5577376018206278,0.8055777777777777
121,0.5592634497642517,0.805
122,0.5488316458596123,0.8076666666666666
123,0.5580319370057848,0.8042222222222222
124,0.5478544551531473,0.8083333333333333
125,0.5487583022223579,0.8096666666666666
126,0.5389780333095127,0.8105333333333333
127,0.5427329722722372,0.8104
128,0.5310823200649686,0.8166666666666667
129,0.5336936363114251,0.8119333333333333
130,0.5335699515872532,0.8151777777777778
131,0.5345982387224834,0.8120888888888889
132,0.5314450138727824,0.8142222222222222
133,0.5245933467441135,0.8159555555555555
134,0.5290907479074266,0.8140222222222222
135,0.5231093279202779,0.8179333333333333
136,0.5249492693053351,0.8172888888888888
137,0.5212948591868083,0.8188888888888889
138,0.5139699075804817,0.8208666666666666
139,0.5122946118142869,0.8206888888888889
140,0.5139930063989427,0.8219333333333333
141,0.5109286508666144,0.8222888888888888
142,0.5142505040380689,0.8200222222222222
143,0.5048746719678243,0.8243333333333334
144,0.5030854116386837,0.8243111111111111
145,0.49954053864479064,0.8254
146,0.5057978774865468,0.8216888888888889
147,0.501510435962677,0.8259111111111112
148,0.4953043623818292,0.8273111111111111
149,0.4881233493804932,0.8312222222222222
150,0.48807908223470053,0.8314666666666667
151,0.48315302901797824,0.8309555555555556
152,0.4823131836944156,0.8317555555555556
153,0.48319831867747837,0.8314
154,0.47922211168077256,0.8331111111111111
155,0.4757356616444058,0.8333111111111111
156,0.4785192996131049,0.8325777777777777
157,0.4802636790222592,0.8316888888888889
158,0.47306910575760736,0.8326
159,0.46985102781719634,0.8355333333333334
160,0.471612150059806,0.8350888888888889
161,0.46494467593828837,0.8375111111111111
162,0.4603397453414069,0.8374444444444444
163,0.4629375734488169,0.8376444444444444
